"","title","abstract","year","journal","Annotation"
"2191","Building Social Cohesion in Ethnically Mixed Schools: An Intervention on Perspective Taking","We evaluate the effect of an educational program that aims to build social cohesion in ethnically mixed schools by developing perspective-taking ability in children. The program is implemented in Turkish elementary schools affected by a large influx of Syrian refugee children. We measure a comprehensive set of outcomes that characterize a cohesive school environment, including peer violence incidents, the prevalence of interethnic social ties, and prosocial behavior. Using randomized variation in program implementation, we find that the program significantly lowers peer violence and victimization on school grounds. The program also reduces the likelihood of social exclusion and increases interethnic social ties in the classroom. We find that the program significantly improves prosocial behavior, measured by incentivized tasks: treated students exhibit significantly higher trust, reciprocity, and altruism toward each other as well as toward anonymous out-school peers. We show that this enhanced prosociality is welfare improving from the ex post payoff perspective. We investigate multiple channels that could explain the results, including ethnic bias, impulsivity, empathetic concern, emotional intelligence, behavioral norms, and perspective taking. Children’s increased effort to take others’ perspectives emerges as the most robust mechanism to explain our results.",2021,"JPE","Woman"
"2192","The Allocation of Authority in Organizations: A Field Experiment with Bureaucrats","We design a field experiment to study how the allocation of authority between frontline procurement officers and their monitors affects performance both directly and through the response to incentives. In collaboration with the government of Punjab, Pakistan, we shift authority from monitors to procurement officers and introduce financial incentives in a sample of 600 procurement officers in 26 districts. We find that autonomy alone reduces prices by 9% without reducing quality and that the effect is stronger when the monitor tends to delay approvals for purchases until the end of the fiscal year. In contrast, the effect of performance pay is muted, except when agents face a monitor who does not delay approvals. Time use data reveal agents’ responses vary along the same margin: autonomy increases the time devoted to procurement, and this leads to lower prices only when monitors cause delays. By contrast, incentives work when monitors do not cause delays. The results illustrate that organizational design and anti-corruption policies must balance agency issues at different levels of the hierarchy.",2021,"JPE","Woman"
"2193","Indebted Demand","We propose a theory of indebted demand, capturing the idea that large debt burdens lower aggregate demand, and thus the natural rate of interest. At the core of the theory is the simple yet underappreciated observation that borrowers and savers differ in their marginal propensities to save out of permanent income. Embedding this insight in a two-agent perpetual-youth model, we find that recent trends in income inequality and financial deregulation lead to indebted household demand, pushing down the natural rate of interest. Moreover, popular expansionary policies—such as accommodative monetary policy—generate a debt-financed short-run boom at the expense of indebted demand in the future. When demand is sufficiently indebted, the economy gets stuck in a debt-driven liquidity trap, or debt trap. Escaping a debt trap requires consideration of less conventional macroeconomic policies, such as those focused on redistribution or those reducing the structural sources of high inequality.",2021,"JPE","No Woman"
"2194","Understanding Tax Policy: How do People Reason?","I study how people understand, reason, and learn about two major tax policies: income taxation and estate taxation. Using large-scale social economics surveys issued to representative U.S. samples and associated experiments, I elicit respondents’ factual knowledge about tax policy and the income or wealth distributions. Most important, I study their understanding of the mechanisms of tax policy and the reasoning that underlies their policy views. In decomposing policy views, I find that support for income and estate taxes is most strongly correlated with social preferences, that is, the perceived benefits of redistribution and concerns around the fairness of inequality and taxation, as well as with broader views of the government. Efficiency concerns play a more minor role. These correlational patterns are confirmed by the experimental approach, which shows people instructional videos that explain the workings and consequences of one of the aspects of tax policy (the Redistribution and the Efficiency treatments) or that bring the two together and focus on the trade-off (the Economist treatment). The Redistribution and Economist treatments significantly increase support for more progressive income or estate taxes, while the Efficiency treatment has no effect. There are large partisan gaps in both the final policy views and at every step of the reasoning about the underlying mechanisms of taxes. Democrats’ and Republicans’ divergences in tax policy views can ultimately be traced back to different normative criteria (social preferences) and views of the government, rather than to different perceptions of the efficiency implications of taxation.",2021,"JPE","Woman"
"2195","Identity, Beliefs, and Political Conflict","We present a theory of identity politics that builds on two ideas. First, when policy conflict renders a certain social divide—economic or cultural—salient, a voter identifies with her economic or cultural group. Second, the voter slants her beliefs toward the stereotype of the group she identifies with. We obtain three implications. First, voters’ beliefs are polarized along the distinctive features of salient groups. Second, if the salience of cultural policies increases, cultural conflict rises, redistributive conflict falls, and polarization becomes more correlated across issues. Third, economic shocks hurting conservative voters may trigger a switch to cultural identity, causing these voters to demand less redistribution. We discuss U.S. survey evidence in light of these implications.",2021,"JPE","No Woman"
"2196","Hall of Mirrors: Corporate Philanthropy and Strategic Advocacy","Information is central to designing effective policy, and policy makers often rely on competing interests to separate useful from biased information. We show how this logic of virtuous competition can break down, using a new and comprehensive data set on U.S. federal regulatory rulemaking for 2003–2016. For-profit corporations and nonprofit entities are active in the rulemaking process and are arguably expected to provide independent viewpoints. Policy makers, however, may not be fully aware of the financial ties between some firms and nonprofits—grants that are legal and tax-exempt but hard to trace. We document three patterns that suggest that these grants may distort policy. First, we show that shortly after a firm donates to a nonprofit, the nonprofit is more likely to comment on rules on which the firm has also commented. Second, when a firm comments on a rule, the comments by nonprofits that recently received grants from the firm’s foundation are systematically closer in content to the firm’s own comments, relative to comments submitted by other nonprofits. Third, the final rule’s discussion by a regulator is more similar to the firm’s comments on that rule when the firm’s recent grantees also commented on it.",2021,"JPE","Woman"
"2197","Managing Expectations: Instruments Versus Targets","Should policy communications aim at anchoring expectations of the policy instrument (“keep interest rates at zero until date τ”) or of the targeted outcome (“do whatever it takes to bring unemployment down to $y\%$”)? We study how the optimal approach depends on a departure from rational expectations. People have limited depth of knowledge and rationality, or form otherwise distorted beliefs about the behavior of others and the general equilibrium (GE) effects of policy. The bite of this distortion on implementability and welfare is minimized by target-based guidance if and only if GE feedback is strong enough. This offers a rationale for why central banks should shine the spotlight on unemployment when faced with a prolonged liquidity trap, a steep Keynesian cross, or a large financial accelerator.",2021,"JPE","No Woman"
"2198","3G Internet and Confidence in Government","How does mobile broadband internet affect approval of government? Using Gallup World Poll surveys of 840,537 individuals from 2,232 subnational regions in 116 countries from 2008 to 2017 and the global expansion of 3G mobile networks, we show that on average, an increase in mobile broadband internet access reduces government approval. This effect is present only when the internet is not censored, and it is stronger when the traditional media are censored. 3G helps expose actual corruption in government: revelations of the Panama Papers and other corruption incidents translate into higher perceptions of corruption in regions covered by 3G networks. Voter disillusionment had electoral implications. In Europe, 3G expansion led to lower vote shares for incumbent parties and higher vote shares for the antiestablishment populist opposition. Vote shares for nonpopulist opposition parties were unaffected by 3G expansion.",2021,"JPE","Woman"
"2199","Strict Id Laws Don’t Stop Voters: Evidence from a U.S. Nationwide Panel, 2008–2018","U.S. states increasingly require identification to vote—an ostensible attempt to deter fraud that prompts complaints of selective disenfranchisement. Using a difference-in-differences design on a panel data set with 1.6 billion observations, 2008–2018, we find that the laws have no negative effect on registration or turnout, overall or for any group defined by race, gender, age, or party affiliation. These results hold through a large number of specifications. Our most demanding specification controls for state, year, and voter fixed effects, along with state and voter time-varying controls. Based on this specification, we obtain point estimates of −0.1 percentage points for effects both on overall registration and turnout (with 95% confidence intervals of [−2.3; 2.1 percentage points] and [−3.0; 2.8 percentage points], respectively), and +1.4 percentage points for the effect on the turnout of nonwhite voters relative to whites (with a 95% confidence interval of [−0.5; 3.2 percentage points]). The lack of negative impact on voter turnout cannot be attributed to voters’ reaction against the laws, measured by campaign contributions and self-reported political engagement. However, the likelihood that nonwhite voters were contacted by a campaign increases by 4.7 percentage points, suggesting that parties’ mobilization might have offset modest effects of the laws on the participation of ethnic minorities. Finally, strict ID requirements have no effect on fraud, actual or perceived. Overall, our findings suggest that efforts to improve elections may be better directed at other reforms.",2021,"JPE","No Woman"
"2200","Unions and Inequality over the Twentieth Century: New Evidence from Survey Data","U.S. income inequality has varied inversely with union density over the past 100 years. But moving beyond this aggregate relationship has proven difficult, in part because of limited microdata on union membership prior to 1973. We develop a new source of microdata on union membership dating back to 1936, survey data primarily from Gallup (N ≈ 980,000), to examine the long-run relationship between unions and inequality. We document dramatic changes in the demographics of union members: when density was at its mid-century peak, union households were much less educated and more nonwhite than other households, whereas pre-World War II and today they are more similar to nonunion households on these dimensions. However, despite large changes in composition and density since 1936, the household union premium holds relatively steady between 10 and 20 log points. We use our data to examine the effect of unions on income inequality. Using distributional decompositions, time series regressions, state-year regressions, as well as a new instrumental-variable strategy based on the 1935 legalization of unions and the World War II–era War Labor Board, we find consistent evidence that unions reduce inequality, explaining a significant share of the dramatic fall in inequality between the mid-1930s and late 1940s.",2021,"JPE","Woman"
"2201","Do You Know that I Know that You Know…? Higher-Order Beliefs in Survey Data","We implement a new survey of firms, focusing on their higher-order macroeconomic expectations. The survey provides a novel set of stylized facts regarding the relationship between first-order and higher-order expectations of economic agents, including how they adjust their beliefs in response to a variety of information treatments. We show how these facts can be used to calibrate key parameters of noisy-information models with infinite regress as well as to test predictions made by this class of models. We also consider a range of extensions to the basic noisy-information model that can potentially better reconcile theory and empirics. Although some extensions like level-k thinking are unsuccessful, incorporating heterogeneous long-run priors can address the empirical shortcomings of the basic noisy-information model.",2021,"JPE","Woman"
"2202","Measuring the Equilibrium Impacts of Credit: Evidence from the Indian Microfinance Crisis","In October 2010, the state government of Andhra Pradesh, India, issued an emergency ordinance, bringing microfinance activities in the state to a complete halt and causing a nationwide shock to the liquidity of lenders, especially those with loans in the affected state. We use this massive dislocation in the microfinance market to identify the causal impacts of a reduction in credit supply on consumption, earnings, and employment in general equilibrium in rural labor markets. Using a proprietary district-level data set from 25 separate, for-profit microlenders matched with household data from the National Sample Survey, we find that district-level reductions in credit supply are associated with significant decreases in casual daily wages, household wage earnings, and consumption. We find a substantial consumption multiplier from credit that is likely driven by two channels—aggregate demand and business investment. We calibrate a simple two-period, two-sector model of the rural economy that incorporates both channels and show that the magnitude of our wage results is consistent with the model’s predictions.",2021,"JPE","Woman"
"2203","Redrawing the Map of Global Capital Flows: The Role of Cross-Border Financing and Tax Havens","Global firms finance themselves through foreign subsidiaries, often shell companies in tax havens, which obscures their true economic location in official statistics. We associate the universe of traded securities issued by firms in tax havens with their issuer's ultimate parent and restate bilateral investment positions to better reflect the financial linkages connecting countries around the world. Bilateral portfolio investment from developed countries to firms in large emerging markets is dramatically larger than previously thought. The national accounts of the United States, for example, understate the U.S. position in Chinese firms by nearly $600 billion. Further, we demonstrate how offshore issuance in tax havens affects our understanding of the currency composition of external portfolio liabilities and the nature of foreign direct investment. Finally, we provide additional restatements of bilateral investment positions, including one based on the geographic distribution of sales.",2021,"JPE","No Woman"
"2204","Mortality Effects and Choice Across Private Health Insurance Plans","Competition in health insurance markets may fail to improve health outcomes if consumers are not able to identify high-quality plans. We develop and apply a novel instrumental variables framework to quantify the variation in causal mortality effects across plans and measure how much consumers attend to this variation. We first document large differences in the observed mortality rates of Medicare Advantage plans in local markets. We then show that when plans with high mortality rates exit these markets, enrollees tend to switch to more typical plans and subsequently experience lower mortality. We derive and validate a novel “fallback condition” governing the subsequent choices of those affected by plan exits. When the fallback condition is satisfied, plan terminations can be used to estimate the relationship between observed plan mortality rates and causal mortality effects. Applying the framework, we find that mortality rates unbiasedly predict causal mortality effects. We then extend our framework to study other predictors of plan mortality effects and estimate consumer willingness to pay. Higher-spending plans tend to reduce enrollee mortality, but existing quality ratings are uncorrelated with plan mortality effects. Consumers place little weight on mortality effects when choosing plans. Good insurance plans dramatically reduce mortality, and redirecting consumers to such plans could improve beneficiary health.",2021,"JPE","Woman"
"2205","What do Consumers Consider Before They Choose? Identification from Asymmetric Demand Responses","Consideration set models generalize discrete-choice models by relaxing the assumption that consumers consider all available options. Determining which options were considered has previously required either survey data or restrictions on how attributes affect consideration or utility. We provide an alternative route. In full-consideration models, choice probabilities satisfy a symmetry property analogous to Slutsky symmetry in continuous-choice models. This symmetry breaks down in consideration set models when changes in characteristics perturb consideration. We show that consideration probabilities are constructively identified from the resulting asymmetries. We validate our approach in a lab experiment where consideration sets are known and then apply our framework to study a “smart default” policy in Medicare Part D, wherein consumers are automatically reassigned to lower-cost prescription drug plans with the option of opting out. Full-consideration models imply that such a policy will be ineffective because consumers will opt out to avoid switching costs. Allowing for inattention, we find that defaulting all consumers to lower-cost options produces negligible welfare benefits on average, but defaulting only consumers who would save at least $300 produces large benefits.",2021,"JPE","No Woman"
"2206","Ownership, Learning, and Beliefs","We examine how owning a good affects learning and beliefs about its quality. We show that people have more extreme reactions to information about a good they own compared with the same information about a nonowned good: ownership causes more optimistic beliefs after receiving a positive signal and more pessimistic beliefs after receiving a negative signal. Comparing learning to normative benchmarks reveals that people overextrapolate from signals about goods they own, which leads to an overreaction to information; in contrast, learning is close to Bayesian for nonowned goods. We provide direct evidence that this effect is driven by ownership channeling greater attention toward associated information, which leads people to overweight recent signals when forming beliefs. The relationship between ownership and beliefs has testable implications for trade and market expectations. In line with these predictions, we show that the endowment effect doubles in response to positive information and disappears with negative information, and demonstrate a significant relationship between ownership and overextrapolation in survey data about stock market expectations.",2021,"JPE","No Woman"
"2207","Rate-Amplifying Demand and the Excess Sensitivity of Long-Term Rates","Long-term nominal interest rates are surprisingly sensitive to high-frequency (daily or monthly) movements in short-term rates. Since 2000, this high-frequency sensitivity has grown even stronger in U.S. data. By contrast, the association between low-frequency changes (at 6- or 12-month horizons) in long- and short-term rates, which was also strong before 2000, has weakened substantially. This puzzling post-2000 pattern arises because increases in short rates temporarily raise the term premium component of long-term yields, leading long rates to temporarily overreact to changes in short rates. The frequency-dependent excess sensitivity of long-term rates that we observe in recent years is best understood using a model in which (i) declines in short rates trigger “rate-amplifying” shifts in investor demand for long-term bonds, and (ii) the arbitrage response to these demand shifts is both limited and slow. We study, theoretically and empirically, how such rate-amplifying demand can be traced to mortgage-refinancing activity, investors who extrapolate recent changes in short rates, and investors who “reach for yield” when short rates fall. We discuss the implications of our findings for the validity of event study methodologies and the transmission of monetary policy.",2021,"JPE","No Woman"
"2208","Medicaid and Mortality: New Evidence From Linked Survey and Administrative Data","We use large-scale federal survey data linked to administrative death records to investigate the relationship between Medicaid enrollment and mortality. Our analysis compares changes in mortality for near-elderly adults in states with and without Affordable Care Act Medicaid expansions. We identify adults most likely to benefit using survey information on socioeconomic status, citizenship status, and public program participation. We find that prior to the ACA expansions, mortality rates across expansion and nonexpansion states trended similarly, but beginning in the first year of the policy, there were significant reductions in mortality in states that opted to expand relative to nonexpanders. Individuals in expansion states experienced a 0.132 percentage point decline in annual mortality, a 9.4% reduction over the sample mean, as a result of the Medicaid expansions. The effect is driven by a reduction in disease-related deaths and grows over time. A variety of alternative specifications, methods of inference, placebo tests, and sample definitions confirm our main result.",2021,"JPE","Woman"
"2209","O Brother, Where Start Thou? Sibling Spillovers on College and Major Choice in Four Countries","Family and social networks are widely believed to influence important life decisions, but causal identification of those effects is notoriously challenging. Using data from Chile, Croatia, Sweden, and the United States, we study within-family spillovers in college and major choice across a variety of national contexts. Exploiting college-specific admissions thresholds that directly affect older but not younger siblings’ college options, we show that in all four countries a meaningful portion of younger siblings follow their older sibling to the same college or college-major combination. Older siblings are followed regardless of whether their target and counterfactual options have large, small, or even negative differences in quality. Spillover effects disappear, however, if the older sibling drops out of college, suggesting that older siblings’ college experiences matter. That siblings influence important human capital investment decisions across such varied contexts suggests that our findings are not an artifact of particular institutional detail but a more generalizable description of human behavior. Causal links between the postsecondary paths of close peers may partly explain persistent college enrollment inequalities between social groups, and this suggests that interventions to improve college access may have multiplier effects.",2021,"JPE","No Woman"
"2210","The Economic Consequences of Increasing Sleep Among the Urban Poor","The urban poor in developing countries face challenging living environments, which may interfere with good sleep. Using actigraphy to measure sleep objectively, we find that low-income adults in Chennai, India, sleep only 5.5 hours a night on average despite spending 8 hours in bed. Their sleep is highly interrupted, with sleep efficiency—sleep per time in bed—comparable to those with disorders such as sleep apnea or insomnia. A randomized three-week treatment providing information, encouragement, and improvements to home sleep environments increased sleep duration by 27 minutes a night by inducing more time in bed. Contrary to expert predictions and a large body of sleep research, increased nighttime sleep had no detectable effects on cognition, productivity, decision making, or well being, and led to small decreases in labor supply. In contrast, short afternoon naps at the workplace improved an overall index of outcomes by 0.12 standard deviations, with significant increases in productivity, psychological well-being, and cognition, but a decrease in work time.",2021,"JPE","Woman"
"2211","The Effects of Foreign Multinationals on Workers and Firms in the United States","Governments go to great lengths to attract foreign multinationals because they are thought to raise the wages paid to their employees (direct effects) and to improve outcomes at local domestic firms (indirect effects). We construct the first U.S. employer-employee data set with foreign ownership information from tax records to measure these direct and indirect effects. We find the average direct effect of a foreign multinational firm on its U.S. workers is a 7% increase in wages. This premium is larger for higher-skilled workers and for the employees of firms from high GDP per capita countries. We find evidence that it is membership in a multinational production network—instead of foreignness—that generates the foreign-firm premium. We leverage the past spatial clustering of foreign-owned firms by country of ownership to identify the indirect effects. An expansion in the foreign-multinational share of commuting-zone employment substantially increases the employment, value added, and—for higher-earning workers—wages at local domestic-owned firms. Per job created by a foreign multinational, our estimates suggest annual gains of US$13,400 to the aggregate wages of local incumbents, two-thirds of which are from indirect effects. Our estimates suggest that—via mega-deals for subsidies from local governments—foreign multinationals are able to extract a sizable fraction of the local surplus they generate.",2021,"JPE","No Woman"
"2212","Labor in the Boardroom","We estimate the wage effects of shared governance, or codetermination, in the form of a mandate of one-third of corporate board seats going to worker representatives. We study a reform in Germany that abruptly abolished this mandate for stock corporations incorporated after August 1994, while it locked the mandate for the slightly older cohorts. Our research design compares firm cohorts incorporated before the reform and after; in a robustness check we draw on the analogous difference in unaffected firm types (LLCs). We find no effects of board-level codetermination on wages and the wage structure, even in firms with particularly flexible wages. The degree of rent sharing and the labor share are also unaffected. We reject that disinvestment could have offset wage effects through the canonical hold-up channel, as shared governance, if anything, increases capital formation.",2021,"JPE","No Woman"
"2213","Sweat Equity in U.S. Private Business","We develop a theory of sweat equity—the value of business owners’ time and expenses to build customer bases, client lists, and other intangible assets. We discipline the theory using data from U.S. national accounts, business censuses, and brokered sales to estimate a value for sweat equity in the private business sector equal to 1.2 times U.S. GDP, which is about the same magnitude as the value of fixed assets in use in these businesses. For a typical owner, 26% of the sweat equity is transferable through inheritance or sale. The equity values are positively correlated with business incomes and standard measures of markups based on accounting data, but not with owners’ financial assets or standard measures of business total factor productivity. We use our theory to show that abstracting from sweat activity leads to a significant understatement of the effects of lowering business income tax rates on private business activity for both the extensive and intensive margins. Despite finding larger responses, our model’s implied tax elasticities of establishments and owner hours are in line with empirical estimates in the public finance literature. Allowing for financial constraints and superstar firms does not overturn our main findings.",2021,"JPE","Woman"
"2214","Banking, Trade, and the Making of a Dominant Currency","We explore the interplay between trade-invoicing patterns and the pricing of safe assets in different currencies. Our theory highlights the following points: (i) a currency’s role as a unit of account for invoicing decisions is complementary to its role as a safe store of value; (ii) this complementarity can lead to the emergence of a single dominant currency in trade invoicing and global banking, even when multiple large candidate countries share similar economic fundamentals; (iii) firms in emerging-market countries endogenously take on currency mismatches by borrowing in the dominant currency; and (iv) the expected return on dominant-currency safe assets is lower than that on similarly safe assets denominated in other currencies, thereby bestowing an “exorbitant privilege” on the dominant currency. The theory thus provides a unified explanation for why a dominant currency is so heavily used in both trade invoicing and in global finance.",2021,"JPE","Woman"
"2215","The Environmental Bias of Trade Policy","This article describes a new fact, then analyzes its causes and consequences: in most countries, import tariffs and nontariff barriers are substantially lower on dirty than on clean industries, where an industry’s “dirtiness” is defined as its carbon dioxide (CO2) emissions per dollar of output. This difference in trade policy creates a global implicit subsidy to CO2 emissions in internationally traded goods and contributes to climate change. This global implicit subsidy to CO2 emissions totals several hundred billion dollars annually. The greater protection of downstream industries, which are relatively clean, substantially accounts for this pattern. The downstream pattern can be explained by theories where industries lobby for low tariffs on their inputs but final consumers are poorly organized. A quantitative general equilibrium model suggests that if countries applied similar trade policies to clean and dirty goods, global CO2 emissions would decrease and global real income would change little.",2021,"JPE","No Woman"
"2216","Unemployment Insurance and Job Search Behavior","How does unemployment insurance (UI) affect unemployed workers’ search behavior? Search models predict that until benefit exhaustion, UI depresses job search effort and increases reservation wages. Over an unemployment spell, search effort should increase up to benefit exhaustion and stay high thereafter. Meanwhile, reservation wages should decrease up to benefit exhaustion and stay low thereafter. To test these predictions, we link administrative registers to data on job search behavior from a major online job search platform in France. We follow over 400,000 workers, as long as they remain unemployed. We analyze the changes in search behavior around benefits exhaustion and take two steps to isolate the individual response to unemployment benefits. First, our longitudinal data allows us to correct for changes in sample composition over the spell. Second, we exploit data on workers eligible for 12–24 months of UI as well as workers ineligible for UI, to control for behavior changes over the unemployment spell that are independent of UI. Our results confirm the predictions of search models. We find that search effort (the number of job applications) increases by at least 50% during the year preceding benefits exhaustion and remains high thereafter. The target monthly wage decreases by at least 2.4% during the year preceding benefits exhaustion and remains low thereafter. In addition, we provide evidence for duration dependence: workers decrease the wage they target by 1.5% over each year of unemployment, irrespective of their UI status.",2021,"JPE","Woman"
"2217","Belief Movement, Uncertainty Reduction, and Rational Updating","When a Bayesian learns new information and changes her beliefs, she must on average become concomitantly more certain about the state of the world. Consequently, it is rare for a Bayesian to frequently shift beliefs substantially while remaining relatively uncertain, or, conversely, become very confident with relatively little belief movement. We formalize this intuition by developing specific measures of movement and uncertainty reduction given a Bayesian’s changing beliefs over time, showing that these measures are equal in expectation and creating consequent statistical tests for Bayesianess. We then show connections between these two core concepts and four common psychological biases, suggesting that the test might be particularly good at detecting these biases. We provide support for this conclusion by simulating the performance of our test and other martingale tests. Finally, we apply our test to data sets of individual, algorithmic, and market beliefs.",2021,"JPE","No Woman"
"2218","Does Integration Change Gender Attitudes? The Effect of Randomly Assigning Women to Traditionally Male Teams","We examine whether integrating men and women in a traditionally male-dominated environment can change men's attitudes about mixed-gender productivity, gender roles, and gender identity. Our context is the military in Norway, where we randomly assigned female recruits to some squads but not others during boot camp. We find that living and working with women for eight weeks causes men to have more egalitarian attitudes. There is a 14 percentage point higher fraction of men who think mixed-gender teams perform as well or better than same-gender teams, an 8 percentage point increase in men who think household work should be shared equally, and a 14 percentage point increase in men who do not completely disavow feminine traits. Moreover, men in mixed-gender teams are more likely to choose military occupations immediately after boot camp that have a higher fraction of women in them. But these effects do not persist once treatment stops. Treated men’s attitudes converge to those of the controls in a six-month follow-up survey, and there is no long-term effect on choosing fields of study, occupations, or workplaces with a higher fraction of women after military service ends. Contrary to the predictions of many policy makers, we do not find that integrating women into squads hurt male recruits’ performance or satisfaction with service, either during boot camp or their subsequent military assignment. These findings provide evidence that even in a highly gender-skewed environment, gender stereotypes are malleable and can be altered by integrating members of the opposite sex. But they also suggest that without continuing intensive exposure, effects are unlikely to persist.",2021,"JPE","No Woman"
"2219","The Micro-Level Anatomy of the Labor Share Decline","The labor share in U.S. manufacturing declined from 61% in 1967 to 41% in 2012. The labor share of the typical U.S. manufacturing establishment, in contrast, rose by over 3 percentage points during the same period. Using micro-level data, we document five salient facts: (i) since the 1980s, there has been a dramatic reallocation of value added toward the lower end of the labor share distribution; (ii) this aggregate reallocation is not due to entry/exit, to “superstars” growing faster, or to large establishments lowering their labor shares, but is instead due to units whose labor share fell as they grew in size; (iii) low labor share (LL) establishments benefit from high revenue labor productivity, not low wages; (iv) they also enjoy a product price premium relative to their peers; and (v) they have only temporarily lower labor shares that rebound after five to eight years. This transient pattern has become more pronounced over time, and the dynamics of value added and employment are increasingly disconnected. Taken together, we interpret these facts as pointing to a significant role for demand-side forces.",2021,"JPE","No Woman"
"2220","Competition and Relational Contracts in the Rwanda Coffee Chain","How does competition affect market outcomes when formal contracts are not enforceable and parties resort to relational contracts? Difficulties with measuring relational contracts and dealing with the endogeneity of competition have frustrated attempts to answer this question. We make progress by studying relational contracts between upstream farmers and downstream mills in Rwanda’s coffee industry. First, we identify salient dimensions of their relational contracts and measure them through an original survey of mills and farmers. Second, we take advantage of an engineering model for the optimal placement of mills to construct an instrument that isolates geographically determined variation in competition. Conditional on the suitability for mills’ placement in the catchment area, we find that mills surrounded by more suitable areas (i) face more competition from other mills, (ii) use fewer relational contracts with farmers, and (iii) exhibit worse performance. An additional competing mill also (iv) reduces the aggregate quantity of coffee supplied to mills by farmers and (v) makes farmers worse off. Competition hampers relational contracts directly by increasing farmers’ temptation to default on the relational contract and indirectly by reducing mills’ profits.",2021,"JPE","No Woman"
"2221","Building Resilient Health Systems: Experimental Evidence from Sierra Leone and The 2014 Ebola Outbreak","Skepticism about the quality of health systems and their consequent underuse are thought to contribute to high rates of mortality in the developing world. The perceived quality of health services may be especially critical during epidemics, when people choose whether to cooperate with response efforts and frontline health workers. Can improving the perceived quality of health care promote community health and ultimately help to contain epidemics? We leverage a field experiment in Sierra Leone to answer this question in the context of the 2014 West African Ebola crisis. Two years before the outbreak, we randomly assigned two interventions to government-run health clinics—one focused on community monitoring, and the other conferred nonfinancial awards to clinic staff. Prior to the Ebola crisis, both interventions increased clinic utilization and patient satisfaction. Community monitoring additionally improved child health, leading to 38% fewer deaths of children under age five. Later, during the crisis, the interventions also increased reporting of Ebola cases by 62%, and community monitoring significantly reduced Ebola-related deaths. Evidence on mechanisms suggests that both interventions improved the perceived quality of health care, encouraging patients to report Ebola symptoms and receive medical care. Improvements in health outcomes under community monitoring suggest that these changes partly reflect a rise in the underlying quality of administered care. Overall, our results indicate that promoting accountability not only has the power to improve health systems during normal times, but can also make them more resilient to emergent crises.",2021,"JPE","Woman"
"2222","Who Gets a Second Chance? Effectiveness and Equity in Supervision of Criminal Offenders","Most convicted offenders serve their sentences under “community supervision” at home instead of in prison. Under supervision, however, a technical rule violation, such as not paying fees, can result in incarceration. Rule violations account for 25% of prison admissions nationally and are significantly more common among black offenders. I test whether technical rules are effective tools for identifying likely reoffenders and deterring crime and examine their disparate racial impacts using administrative data from North Carolina. Analysis of a 2011 reform reducing prison punishments for technical violations on probation reveals that 40% of rule breakers would go on to commit crimes if spared harsh punishment. The same reform also closed a 33% black-white gap in incarceration rates without substantially increasing the black-white reoffending gap. These effects combined imply that technical rules target riskier probationers overall but disproportionately affect low-risk black offenders. To justify black probationers’ higher violation rate on efficiency grounds, their crimes must be roughly twice as socially costly as that of white probationers. Exploiting the repeat spell nature of the North Carolina data, I estimate a semiparametric competing risks model that allows me to distinguish the effects of particular types of technical rules from unobserved probationer heterogeneity. Rules related to the payment of fees and fines, which are common in many states, are ineffective in tagging likely reoffenders and drive differential effects by race. These findings illustrate the potentially large influence of ostensibly race-neutral policies on racial disparities in the justice system.",2021,"JPE","No Woman"
"2223","Supply Chain Disruptions: Evidence from the Great East Japan Earthquake","Exploiting the exogenous and regional nature of the Great East Japan Earthquake of 2011, this article provides a quantification of the role of input-output linkages as a mechanism for the propagation and amplification of shocks. We document that the disruption caused by the disaster propagated upstream and downstream along supply chains, affecting the direct and indirect suppliers and customers of disaster-stricken firms. Using a general equilibrium model of production networks, we then obtain an estimate for the overall macroeconomic impact of the disaster by taking these propagation effects into account. We find that the earthquake and its aftermaths resulted in a 0.47 percentage point decline in Japan’s real GDP growth in the year following the disaster.",2021,"JPE","Woman"
"2224","Health Insurance and Mortality: Experimental Evidence from Taxpayer Outreach","We evaluate a randomized outreach study in which the IRS sent informational letters to 3.9 million households that paid a tax penalty for lacking health insurance coverage under the Affordable Care Act. Drawing on administrative data, we study the effect of this intervention on taxpayers’ subsequent health insurance enrollment and mortality. We find the intervention led to increased coverage during the subsequent two years and reduced mortality among middle-aged adults over the same time period. The results provide experimental evidence that health insurance coverage can reduce mortality in the United States.",2021,"JPE","Woman"
"2225","Banking Crises Without Panics","We examine historical banking crises through the lens of bank equity declines, which cover a broad sample of episodes of banking distress with and without banking panics. To do this, we construct a new data set on bank equity returns and narrative information on banking panics for 46 countries over the period of 1870 to 2016. We find that even in the absence of panics, large bank equity declines are associated with substantial credit contractions and output gaps. Although panics are an important amplification mechanism, our results indicate that panics are not necessary for banking crises to have severe economic consequences. Furthermore, panics tend to be preceded by large bank equity declines, suggesting that panics are the result, rather than the cause, of earlier bank losses. We use bank equity returns to uncover a number of forgotten historical banking crises and create a banking crisis chronology that distinguishes between bank equity losses and panics.",2021,"JPE","No Woman"
